date,sha,human_market,human_market_n,human_dataset,human_dataset_n,human_overall,human_rank,best_ai_market,best_ai_market_n,best_ai_model,n_entries,n_ai_above_human,brier_index_era
2026-05-13,1b322ca328,79.6,56,63.7,521,70.6,1,75.4,192,excited-seal,289,0,True
2026-05-14,c0a16d34af,79.6,56,63.7,521,70.6,1,75.4,193,excited-seal,290,0,True
2026-05-15,79a137e99c,79.6,56,63.7,521,70.6,1,75.4,193,excited-seal,289,0,True
2026-05-16,3bd42389d2,79.6,56,63.7,521,70.6,1,75.4,196,excited-seal,289,0,True
2026-05-17,3640ad20a8,79.6,56,63.7,521,70.6,1,75.4,198,excited-seal,289,0,True
2026-05-18,98f77fb200,78.8,56,63.8,521,70.3,1,74.6,205,Cassi ensemble_2_crowdadj,306,0,True
2026-05-19,6e30fae8da,78.8,56,63.8,521,70.4,1,74.7,205,Cassi ensemble_2_crowdadj,306,0,True
2026-05-21,2881f5220c,78.8,56,63.7,521,70.3,1,74.7,205,Cassi ensemble_2_crowdadj,195,0,True
2026-05-22,321d26caca,78.7,56,63.7,521,70.2,1,74.6,205,Cassi ensemble_2_crowdadj,194,0,True
2026-05-23,006cd6cfbb,78.7,56,63.7,521,70.2,1,74.6,205,Cassi ensemble_2_crowdadj,194,0,True
2026-05-24,8f5242c31c,78.7,56,63.7,521,70.2,1,74.6,205,Cassi ensemble_2_crowdadj,194,0,True
2026-05-25,cfbe7547e1,78.7,56,63.7,521,70.2,1,74.5,205,Cassi ensemble_2_crowdadj,194,0,True
2026-05-28,45aeb3d6a5,78.6,56,63.6,521,70.2,1,74.5,205,Cassi ensemble_2_crowdadj,194,0,True
2026-05-30,2cef61ff0a,78.6,56,63.6,521,70.2,1,74.5,205,Cassi ensemble_2_crowdadj,194,0,True
2026-06-04,1167485de9,78.2,56,63.7,521,70.0,1,74.8,79,voicetree-decisionflow-v0_green,202,0,True
2026-06-05,7d71306230,78.2,56,63.7,521,70.0,1,74.8,79,voicetree-decisionflow-v0_green,202,0,True
2026-06-07,2df491ac9b,78.2,56,63.6,521,70.0,1,74.8,79,voicetree-decisionflow-v0_green,202,0,True
2026-06-08,cb2876991e,78.2,56,63.7,521,70.0,1,74.8,79,voicetree-decisionflow-v0_green,202,0,True
2026-06-09,8cc3ed3c62,78.2,56,63.6,521,70.0,1,74.8,79,voicetree-decisionflow-v0,202,0,True
2026-06-10,d55681efc9,78.2,56,63.7,521,70.0,1,74.8,79,voicetree-decisionflow-v0_green,202,0,True
2026-06-11,14a45bfeec,78.1,56,63.7,521,70.0,1,74.8,80,voicetree-decisionflow-v0_green,202,0,True
2026-06-12,da1dc1b047,78.1,56,63.7,521,70.0,1,74.8,80,voicetree-decisionflow-v0,202,0,True
2026-06-13,5c6ca38fc1,77.8,56,63.7,521,69.9,1,74.5,80,voicetree-decisionflow-v0,202,0,True
2026-06-14,8a325bd906,77.8,56,63.6,521,69.9,1,74.5,81,voicetree-decisionflow-v0,201,0,True
2026-06-15,2fcb43de62,77.2,56,63.6,521,69.6,1,76.1,77,Gemini,210,0,True
2026-06-16,1496472040,77.1,56,63.7,521,69.6,1,76.3,78,aj-v1,211,0,True
2026-06-17,64c0db2f03,77.0,56,63.7,521,69.6,1,76.6,81,Gemini,211,0,True
2026-06-18,9fe356b768,77.1,56,63.7,521,69.7,1,76.7,82,Gemini,213,0,True
2026-06-19,e1eb539a5a,77.1,56,63.7,521,69.6,1,76.7,82,Gemini,213,0,True
2026-06-20,f94beb0f67,77.1,56,63.6,521,69.6,1,76.7,82,Gemini,213,0,True
2026-06-21,a9e98a4a9f,77.1,56,63.7,521,69.6,1,76.7,82,Gemini,213,0,True
2026-06-23,909433556c,77.0,56,63.6,521,69.5,1,76.5,83,Gemini,213,0,True
2026-06-25,3c4512f202,77.0,56,63.6,521,69.6,1,76.6,83,Gemini,213,0,True
2026-06-26,68a70c2932,77.0,56,63.6,521,69.6,1,76.5,83,Gemini,213,0,True
2026-06-28,f510a1a29b,77.0,56,63.7,521,69.6,1,76.5,83,Gemini,214,0,True
2026-06-29,0af9c65fd4,76.3,56,63.6,521,69.3,1,78.1,79,Cassi-2026-05-10,222,3,True
2026-06-30,34e31b5834,76.3,56,63.6,521,69.3,1,78.1,79,Cassi-2026-05-10,222,3,True
2026-07-01,9ea42889be,76.3,56,63.6,521,69.3,1,77.4,81,Cassi-2026-05-10,222,3,True
2026-07-03,a5715fc4a1,76.2,56,63.6,521,69.3,1,78.2,87,Cassi-2026-05-10,228,4,True
2026-07-04,9dcdabcabe,76.2,56,63.6,521,69.3,1,78.2,87,Cassi-2026-05-10,228,4,True
2026-07-06,f91c4c1f09,76.2,56,63.6,521,69.3,1,78.2,87,Cassi-2026-05-10,228,3,True
2026-07-07,85a601ac70,76.1,56,63.6,521,69.2,1,78.2,90,Cassi-2026-05-10,228,3,True
2026-07-08,610386bcf5,76.1,56,63.7,521,69.2,1,78.0,91,Cassi-2026-05-10,228,3,True
2026-07-09,37f9dd04cc,76.1,56,63.7,521,69.2,1,78.0,91,Cassi-2026-05-10,228,3,True
2026-07-10,d13a0b171a,76.1,56,63.7,521,69.3,1,78.0,91,Cassi-2026-05-10,228,3,True
2026-07-11,b1921ad266,76.1,56,63.7,521,69.3,1,78.0,91,Cassi-2026-05-10,228,3,True
2026-07-12,0796b7c099,76.1,56,63.7,521,69.3,1,78.0,91,Cassi-2026-05-10,228,3,True
2026-07-13,9e97f5a6c8,75.9,56,63.7,521,69.2,1,77.7,92,Cassi-2026-05-10,241,2,True
2026-07-14,0da9fc0523,75.9,56,63.7,521,69.2,1,77.7,92,Cassi-2026-05-10,241,2,True
2026-07-17,c112b106fa,75.9,57,63.7,521,69.2,1,77.6,93,Cassi-2026-05-10,241,2,True
2026-07-18,4184329e81,75.9,57,63.7,521,69.2,1,77.6,93,Cassi-2026-05-10,241,2,True
2026-07-19,d3aeff29ad,75.9,57,63.7,521,69.2,1,77.5,94,Cassi-2026-05-10,241,2,True
2026-07-20,ea6c52f4f5,75.9,57,63.7,521,69.2,1,77.5,94,Cassi-2026-05-10,241,2,True
2026-07-21,61dea82c9e,75.9,57,63.7,521,69.2,1,77.2,96,Cassi-2026-05-10,241,2,True
2026-07-22,b4ce61f779,75.9,57,63.8,521,69.2,1,77.3,96,Cassi-2026-05-10,241,2,True
2026-07-23,ca64abc640,75.9,57,63.8,521,69.2,1,77.3,96,Cassi-2026-05-10,241,2,True
2026-07-24,a7b7fcb6d4,75.9,57,63.8,521,69.2,1,77.2,96,Cassi-2026-05-10,241,2,True
2026-07-25,3b38f3bdf4,75.9,57,63.8,521,69.2,1,77.2,96,Cassi-2026-05-10,241,2,True
2026-07-26,4ef8205a20,75.9,57,63.7,521,69.2,1,77.2,96,Cassi-2026-05-10,241,2,True
2026-07-27,21d62d6ea4,75.8,57,63.7,521,69.2,1,77.1,96,Cassi-2026-05-10,259,2,True
2026-07-28,5081f00a7d,75.6,57,63.8,521,69.1,1,76.9,98,Cassi-2026-05-10,259,2,True
2026-07-30,9260d97298,75.6,57,63.8,521,69.1,1,76.8,98,Cassi-2026-05-10,259,2,True
2026-07-31,e736525c83,75.6,57,63.8,521,69.1,1,76.8,98,Cassi-2026-05-10,259,2,True
2026-08-06,0c1da4225f,75.6,57,63.7,521,69.1,1,76.6,102,Cassi-2026-05-10,260,2,True
2026-08-07,257259fc9d,75.6,57,63.7,521,69.1,1,76.6,102,Cassi-2026-05-10,260,2,True
2026-08-08,e43425e39d,75.6,57,63.7,521,69.1,1,76.6,102,Cassi-2026-05-10,260,2,True
2026-08-09,0027ede09c,75.6,57,63.7,521,69.1,1,76.6,102,Cassi-2026-05-10,260,2,True
2026-08-10,9631f84de6,75.6,57,63.7,521,69.1,1,76.6,102,Cassi-2026-05-10,273,2,True
