model,model_org,n,pct_imputed,corr,pct_within_0p5pp,pct_within_2pp,median_abs_dev,brier,brier_market,brier_vs_market
blf-ensemble-opus45-gpt55,Ensemble,99.0,0.0,0.9663641787441214,35.35353535353536,64.64646464646465,0.009500000000000001,0.08845662313131313,0.07693239834954944,0.011524224781763681
Anton,Ensemble,99.0,0.0,0.9663641787441214,35.35353535353536,64.64646464646465,0.009500000000000001,0.08845662313131313,0.07693239834954944,0.011524224781763681
aj-v1,Artificial Judgement,603.0,0.0,0.9659860379405231,25.70480928689884,59.20398009950249,0.013717792100000015,0.10558010681085467,0.10888720338539984,-0.003307096574545171
ensemble,LightningRodLabs,117.0,0.0,0.9651507817565379,31.62393162393162,58.119658119658126,0.013499999999999998,0.05762457051282051,0.05621971297667593,0.0014048575361445756
CAIR_01,hliu763,90.0,0.0,0.9646298377755296,7.777777777777778,42.22222222222222,0.026683611099999997,0.08108061666666665,0.06895353156921438,0.012127085097452264
CAIR_02,hliu763,90.0,0.0,0.9646298377755296,7.777777777777778,42.22222222222222,0.026683611099999997,0.08108061666666665,0.06895353156921438,0.012127085097452264
CAIR_03,hliu763,90.0,0.0,0.9646298377755296,7.777777777777778,42.22222222222222,0.026683611099999997,0.08108061666666665,0.06895353156921438,0.012127085097452264
ensemble,GS-AI-superforecaster,60.0,0.0,0.9643747269116856,36.666666666666664,60.0,0.013500000000000009,0.0664876529790031,0.058830028203954686,0.007657624775048409
voicetree-axiom-1,Voicetree,103.0,0.0,0.9635411434225425,41.74757281553398,62.13592233009708,0.008560000000000012,0.09726948103563106,0.09477222512484502,0.0024972559107860337
MiniMax-M2.5 (zero shot with freeze values),Minimax,67.0,89.3312101910828,0.9623767227274539,23.88059701492537,44.776119402985074,0.020000000000000018,0.10518179109612488,0.08606829711000995,0.019113493986114935
gpt-5.5-2026-04-23-high-web-search,OpenAI,99.0,0.0,0.9623757792368668,23.232323232323232,56.56565656565656,0.015,0.08133363636363637,0.07693239834954944,0.004401238014086928
Grok-4-1-Fast-Reasoning (zero shot with freeze values),xAI,1193.0,0.08375209380234507,0.9619555609554185,30.930427493713324,58.25649622799665,0.013969790399999998,0.09185972948030176,0.08358575828475054,0.008273971195551219
Spring,hliu763,103.0,0.0,0.9619113399422788,34.95145631067961,62.13592233009708,0.010000000000000009,0.09642349312826212,0.09477222512484502,0.0016512680034170973
vati-2.0-opus,Vaticinus,60.0,0.0,0.961393334396279,10.0,31.666666666666664,0.0490945,0.09035527536018334,0.07202398133598543,0.018331294024197906
fire hedgehog,Google DeepMind,103.0,0.0,0.9612851217068246,31.06796116504854,61.165048543689316,0.014200000000000018,0.088965766407767,0.09477222512484502,-0.005806458717078022
voicetree-axiom-0,Voicetree,103.0,0.0,0.9606558329467725,41.74757281553398,62.13592233009708,0.0092,0.0987909225068058,0.09477222512484502,0.00401869738196077
"Grok 4.20 (Beta, A)",xAI,127.0,0.0,0.9605358005380148,13.385826771653544,38.582677165354326,0.024999999999999967,0.13812752362204725,0.13438293477694563,0.0037445888451016207
Qwen3-235B-A22B-Fp8-Tput (scratchpad with freeze values),Qwen,2546.0,7.3508005822416305,0.960044586833474,37.19560094265514,61.19402985074627,0.010203750000000003,0.068734252328221,0.06124707803650674,0.007487174291714263
grok-4.3-high-web-x-search-zero-shot-with-freeze-values,xAI,89.0,10.1010101010101,0.9597195793063769,12.359550561797752,37.07865168539326,0.0268034864,0.1026457191011236,0.08423213290413367,0.018413586196989934
Gemini-2.5-Pro-Preview-03-25 (zero shot with freeze values),Google,91.0,79.08045977011494,0.9592555678535993,30.76923076923077,54.94505494505495,0.016,0.08822325253713979,0.07288704694235947,0.015336205594780328
Superforecaster median forecast,ForecastBench,57.0,0.0,0.9588814267983863,12.280701754385964,33.33333333333333,0.03921882359999995,0.08302036951754387,0.10029750642638813,-0.017277136908844262
gemma-4-31b-it-zero-shot-with-freeze-values,Google DeepMind,91.0,8.080808080808081,0.9583408488830734,20.87912087912088,43.956043956043956,0.026000000000000023,0.0905846532967033,0.07297302516788698,0.017611628128816323
Claude-Sonnet-4-20250514 (scratchpad with freeze values),Anthropic,848.0,0.9345794392523363,0.9572607737745833,37.735849056603776,64.38679245283019,0.010000000000000009,0.058734396013051075,0.047529852775515864,0.011204543237535211
QwQ-32B-Preview (scratchpad with freeze values),Qwen,1222.0,3.246239113222486,0.9561402388729204,39.689034369885434,62.76595744680851,0.0095,0.06108951080450727,0.04842712183347737,0.012662388971029906
Grok-beta (zero shot with freeze values),xAI,828.0,0.0,0.9541911212745748,43.71980676328502,67.02898550724638,0.00805925,0.05336916187002345,0.04174744025371085,0.0116217216163126
glm-5.2-12000-zero-shot-with-freeze-values,Z.ai,51.0,48.484848484848484,0.9539557401424252,21.568627450980394,45.09803921568628,0.026056337,0.09863875071977465,0.0841403374738624,0.01449841324591225
Llama-3.3-70B-Instruct-Turbo (scratchpad with freeze values),Meta,3038.0,1.3636363636363635,0.9532528488163059,36.57011191573404,60.56616194865043,0.011557499999999998,0.06717805557871026,0.054069035135282766,0.013109020443427495
GPT-4.1-2025-04-14 (scratchpad with freeze values),OpenAI,2232.0,1.1076650420912717,0.9523590427671951,39.20250896057348,64.06810035842294,0.009388999999999998,0.07182492710002947,0.05859127822386737,0.013233648876162095
O3-2025-04-16 (scratchpad with freeze values),OpenAI,435.0,0.0,0.9521127601282149,28.045977011494255,57.47126436781609,0.014924999999999966,0.07154695801746207,0.056943510140571446,0.014603447876890621
glm-5.2-zero-shot-with-freeze-values,Z.ai,61.0,38.38383838383838,0.9517508915328061,18.0327868852459,50.81967213114754,0.01809680459999996,0.10643053011992316,0.08753013706560855,0.01890039305431461
supersonic,limeforecast,119.0,0.0,0.9512421589737649,15.966386554621847,43.69747899159664,0.021420737899999986,0.10169222689075633,0.09869508054910643,0.002997146341649895
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),OpenAI,925.0,0.2157497303128371,0.9508768918942734,37.62162162162162,64.54054054054053,0.009330888300000006,0.05927241134179922,0.04769576987133617,0.011576641470463049
blue croc,Google DeepMind,103.0,0.0,0.9500727011695124,44.66019417475729,73.7864077669903,0.00685361750000002,0.09265235932038834,0.09477222512484502,-0.0021198658044566804
gpt-5.5-2026-04-23-zero-shot-with-freeze-values,OpenAI,99.0,0.0,0.9498616352295112,13.131313131313133,41.41414141414141,0.029832368100000006,0.09301116414141414,0.07693239834954944,0.016078765791864694
GPT-4o-2024-05-13 (scratchpad with freeze values),OpenAI,3085.0,0.5159625927120284,0.949791500864919,39.18962722852512,62.04213938411669,0.009999999999999998,0.06912677134199846,0.056497111962829145,0.012629659379169315
claude-opus-4-8-adaptive-thinking-max-web-search-128000,Anthropic,99.0,0.0,0.9494997122868937,13.131313131313133,44.44444444444444,0.025000000000000022,0.07983434343434344,0.07693239834954944,0.0029019450847939943
bob-s,Anonymous 10,60.0,0.0,0.9489280520571459,6.666666666666667,38.333333333333336,0.030389124049999966,0.08783215000000001,0.07202398133598543,0.015808168664014577
Claude-Opus-4-20250514 (scratchpad with freeze values),Anthropic,433.0,1.366742596810934,0.9488731938256298,39.722863741339495,64.43418013856814,0.009849999999999998,0.05869047314052915,0.04194493600202956,0.01674553713849959
gemini-3.5-flash-zero-shot-with-freeze-values,Google DeepMind,99.0,0.0,0.9484699553694955,16.161616161616163,44.44444444444444,0.0244841788,0.09278399847079798,0.07693239834954944,0.015851600121248532
O3-Mini-2025-01-31 (zero shot with freeze values),OpenAI,1696.0,1.8518518518518516,0.9473092371990445,40.33018867924528,62.382075471698116,0.009254124999999998,0.06620359985836378,0.050071470149096776,0.016132129709267008
gemini-3.1-pro-preview-high-zero-shot-with-freeze-values,Google DeepMind,99.0,0.0,0.9472527096660431,17.17171717171717,44.44444444444444,0.027499999999999997,0.09482820707070706,0.07693239834954944,0.01789580872115762
Claude-Opus-4-1-20250805 (scratchpad with freeze values),Anthropic,415.0,0.4796163069544364,0.9470084761088988,31.566265060240962,62.16867469879518,0.012357,0.06816170511253977,0.053324460267042545,0.014837244845497227
GPT-5-2025-08-07 (zero shot with freeze values),OpenAI,636.0,0.15698587127158556,0.9468888010723618,37.264150943396224,67.61006289308176,0.01,0.060799332921217385,0.04813409336146863,0.012665239559748756
excited-seal,Anonymous 4,1366.0,0.0,0.9467617667447078,22.10834553440703,50.658857979502194,0.019999999999999962,0.10283726708671055,0.10060798914216139,0.002229277944549163
big green leaf,Google DeepMind,103.0,0.0,0.9465530925820974,40.77669902912621,71.84466019417476,0.0063,0.09360136242718446,0.09477222512484502,-0.001170862697660563
Cassi-2026-05-10,Cassi-AI,102.0,0.0,0.9462272372506955,12.745098039215685,42.15686274509804,0.028583333300000013,0.12477325299617004,0.146736318888046,-0.021963065891875966
claude-sonnet-4-6-adaptive-thinking-16000-zero-shot-with-freeze-values,Anthropic,99.0,0.0,0.9455583640754125,11.11111111111111,41.41414141414141,0.025903195400000023,0.09387693434343433,0.07693239834954944,0.016944535993884888
gemini-3.1-pro-preview-high-web-search-zero-shot-with-freeze-values,Google DeepMind,99.0,0.0,0.9453808043830493,14.14141414141414,46.464646464646464,0.023399999999999976,0.10355826515151516,0.07693239834954944,0.026625866801965714
Gemini-3-Flash-Preview (zero shot with freeze values),Google,908.0,0.11001100110011,0.9453233569330105,24.779735682819386,50.991189427312776,0.01999999999999999,0.11811095820279421,0.10789133791340834,0.010219620289385875
Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Anthropic,3736.0,0.34675913576953854,0.9450142077346017,35.17130620985011,63.11563169164882,0.009999999999999998,0.06772118131675299,0.05151232852179219,0.0162088527949608
Gemini-2.5-Pro (zero shot with freeze values),Google,1818.0,0.70999453850355,0.9435742833859456,33.11331133113311,60.34103410341034,0.011384963999999997,0.08390570854213517,0.07086010314482658,0.01304560539730859
claude-sonnet-4-6-1024-zero-shot-with-freeze-values,Anthropic,99.0,0.0,0.9430707548476094,11.11111111111111,36.36363636363637,0.03549999999999999,0.09751681014762255,0.07693239834954944,0.020584411798073105
Mistral-Large-2407 (zero shot with freeze values),Mistral,3101.0,0.0,0.9427318956258199,40.89003547242825,63.785875524024505,0.00903,0.07276214617939092,0.056206747791848324,0.016555398387542594
grok-4.3-high-web-x-search,xAI,91.0,8.080808080808081,0.9426199751763196,5.4945054945054945,31.868131868131865,0.03499999999999999,0.09749450549450549,0.08268206995402408,0.014812435540481408
gemini-3.1-pro-preview-zero-shot-with-freeze-values,Google DeepMind,99.0,0.0,0.9422018320828559,16.161616161616163,43.43434343434344,0.0295,0.09602287121212122,0.07693239834954944,0.019090472862571775
ensemble (critique-1-99),Anonymous 8,102.0,0.0,0.9412316049411185,19.607843137254903,45.09803921568628,0.025,0.10889479599671528,0.11128928732605199,-0.0023944913293367093
ensemble (nocritique-1-99),Anonymous 8,102.0,0.0,0.941201587726265,14.705882352941178,41.17647058823529,0.025000000000000015,0.10884973717318586,0.11128928732605199,-0.002439550152866135
ensemble,Anonymous 8,102.0,0.0,0.9405990098969378,24.509803921568626,53.92156862745098,0.01673656035000004,0.12576298985641632,0.146736318888046,-0.020973329031629684
kimi-k2.6-16000-zero-shot-with-freeze-values,Moonshot AI,83.0,16.161616161616163,0.9401908646718554,12.048192771084338,33.734939759036145,0.035500000000000004,0.08909163710843374,0.06669418733623284,0.0223974497722009
mantic-light-2025-10-testing,Mantic,605.0,0.3294892915980231,0.9399572446300045,6.446280991735537,21.983471074380166,0.038500000000000006,0.043306576193490924,0.03965122973674125,0.0036553464567496766
Gemini,Google DeepMind,398.0,0.0,0.939740700226251,16.331658291457288,42.71356783919598,0.029313662200000007,0.10408835314070351,0.10284005006772956,0.0012483030729739525
Claude-3-5-Sonnet-20241022 (zero shot with freeze values),Anthropic,3074.0,0.19480519480519481,0.939619277640085,36.98763825634352,62.491867273910216,0.010000000000000009,0.07079456289814387,0.05336047196163225,0.017434090936511618
bob,Anonymous 10,60.0,0.0,0.9395335752110855,11.666666666666666,21.666666666666668,0.04625000000000002,0.09767208333333334,0.07202398133598543,0.025648101997347905
Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad with freeze values),Meta,884.0,0.6741573033707865,0.939389910214707,29.411764705882355,51.92307692307693,0.019000000000000003,0.08201171052159524,0.06853864146256086,0.013473069059034379
ensemble (critique-5-95),Anonymous 8,102.0,0.0,0.9393691207767387,11.76470588235294,31.372549019607842,0.030000000000000013,0.10925637254901958,0.11128928732605199,-0.0020329147770324074
Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),Google,421.0,3.218390804597701,0.9389027424964012,40.142517814726844,62.23277909738717,0.009999999999999995,0.08160187661774218,0.05871351824521223,0.02288835837252995
Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad with freeze values),Meta,1721.0,1.43184421534937,0.9381917969117369,29.517722254503198,52.81812899477048,0.017200000000000007,0.07995410495100506,0.061930453779188106,0.018023651171816958
grok-4.20-0309-reasoning-zero-shot-with-freeze-values,xAI,99.0,0.0,0.937936634613168,9.090909090909092,25.252525252525253,0.05099999999999999,0.09780850505050503,0.07693239834954944,0.02087610670095559
jforecast-router,Anonymous 11,99.0,0.0,0.9379241547241274,7.07070707070707,38.38383838383838,0.030999999999999986,0.10375879727272727,0.07693239834954944,0.026826398923177827
denim-shears,Google DeepMind,60.0,0.0,0.9376229114454548,20.0,50.0,0.02101785565000001,0.09878143333333332,0.07202398133598543,0.026757451997347886
DeepSeek-V3 (scratchpad with freeze values),DeepSeek,2176.0,0.6392694063926941,0.9361053663419401,29.503676470588236,52.251838235294116,0.01767046820000001,0.06481659890622926,0.047544031238349604,0.017272567667879657
Claude-Sonnet-4-5-20250929 (zero shot with freeze values),Anthropic,1754.0,0.0,0.9352403985726805,24.91448118586089,50.39908779931584,0.01999999999999999,0.09816416098631757,0.084056913156451,0.014107247829866568
GLM-5 (zero shot with freeze values),Z.ai,441.0,15.355086372360843,0.9344386239774171,13.378684807256235,38.775510204081634,0.03252734190000006,0.12607331053171741,0.10435835667867166,0.021714953853045754
fb_forecaster_v2,FutureSearch,103.0,0.0,0.9329740499952865,20.388349514563107,50.48543689320388,0.01999999999999999,0.10374677669902914,0.09477222512484502,0.008974551574184114
fb_early_closer_v2,FutureSearch,103.0,0.0,0.9329683555747011,21.35922330097087,50.48543689320388,0.01999999999999999,0.10372638834951457,0.09477222512484502,0.008954163224669548
Claude-Haiku-4-5-20251001 (zero shot with freeze values),Anthropic,1811.0,0.0,0.9328517374943383,18.939812258420762,47.598012147984534,0.020500000000000018,0.09637742405300939,0.0830942741040579,0.013283149948951495
DeepSeek-V3 (zero shot with freeze values),DeepSeek,2190.0,0.0,0.9326302307157309,37.35159817351598,58.264840182648406,0.011021,0.06846836346271595,0.04724013554726495,0.021228227915451002
O3-2025-04-16 (zero shot with freeze values),OpenAI,1040.0,0.19193857965451055,0.9316350740352654,28.557692307692307,59.71153846153846,0.013500000000000002,0.06121111546449423,0.0474248695506019,0.013786245913892332
blf-ensemble-opus45-gpt55,Anthral Labs,204.0,0.0,0.9302701464937352,10.294117647058822,36.27450980392157,0.03960000000000004,0.12872609431372548,0.12901280310704902,-0.0002867087933235424
Claude-Sonnet-4-6 (zero shot with freeze values),Anthropic,1025.0,0.0,0.9299865598317697,19.024390243902438,40.97560975609756,0.029778619900000025,0.12645826522373005,0.11286204189606204,0.013596223327668008
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot with freeze values),Meta,890.0,0.0,0.9294712573794728,37.30337078651685,63.258426966292134,0.010000000000000002,0.08348926030809349,0.06832977323325012,0.015159487074843367
Gemini-3.1-Pro-Preview (zero shot with freeze values),Google,1024.0,0.0975609756097561,0.9288789477328739,21.2890625,45.5078125,0.024999999999999994,0.12581474947265625,0.11286847357760116,0.012946275895055093
open-flash-med-search05-tools11-data,sirbayes,127.0,0.0,0.9282438366481378,5.511811023622047,20.47244094488189,0.1065292242,0.17621430088775078,0.13438293477694563,0.04183136611080515
dragon-brother,Torchcast AI,103.0,0.0,0.9280108488834383,17.475728155339805,47.57281553398058,0.02132045569999999,0.0901717281553398,0.09477222512484502,-0.004600496969505222
claude-sonnet-5-adaptive-thinking-16000-zero-shot-with-freeze-values,Anthropic,99.0,0.0,0.9274613086554708,10.1010101010101,33.33333333333333,0.040000000000000036,0.09718409090909089,0.07693239834954944,0.020251692559541443
Cassi ensemble_2_crowdadj,Cassi-AI,216.0,1.8181818181818181,0.9271339247282888,20.37037037037037,56.018518518518526,0.015001538200000004,0.03684755101851852,0.03925194400840345,-0.0024043929898849292
Grok-beta (scratchpad with freeze values),xAI,828.0,0.0,0.9270456054625297,27.77777777777778,49.51690821256038,0.020223749999999995,0.060389583790000374,0.04174744025371085,0.018642143536289527
Qwen2.5-72B-Instruct-Turbo (zero shot with freeze values),Qwen,890.0,0.0,0.9261982316467438,31.348314606741575,57.97752808988764,0.013100750000000001,0.0890161770817579,0.06832977323325012,0.02068640384850777
Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),Anthropic,5386.0,1.1743119266055047,0.9259158885527817,32.75157816561456,57.46379502413666,0.01409597035,0.0744322582097035,0.055244240900219344,0.019188017309484162
GPT-5.5-2026-04-23 (zero shot with freeze values),OpenAI,295.0,0.0,0.925660133157752,19.661016949152543,40.67796610169492,0.030000000000000027,0.10973541949152543,0.09260631978422249,0.017129099707302947
minimax-m3-adaptive-thinking-12000-zero-shot-with-freeze-values,MiniMax,98.0,1.0101010101010102,0.9254407160113899,15.306122448979592,34.69387755102041,0.03675768599999999,0.10332264285714285,0.0765307744258942,0.026791868431248644
captain-jack,Torchcast AI,103.0,0.0,0.9253294440219685,16.50485436893204,50.48543689320388,0.0196365426,0.08931204854368933,0.09477222512484502,-0.00546017658115569
O3-Mini-2025-01-31 (scratchpad with freeze values),OpenAI,1695.0,1.9097222222222223,0.9241621867547666,34.45427728613569,54.690265486725664,0.014804999999999999,0.07064185572865002,0.05009913932086246,0.020542716407787556
Mistral-Large-2411 (zero shot with freeze values),Mistral,1348.0,0.07412898443291327,0.9233384368950799,35.237388724035604,59.05044510385756,0.01217792924999998,0.06727597630219208,0.04995692280132965,0.01731905350086243
rice-demon,Torchcast AI,103.0,0.0,0.9229846645514331,14.563106796116504,46.601941747572816,0.020999999999999998,0.0910030291262136,0.09477222512484502,-0.0037691959986314305
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Anthropic,3022.0,1.883116883116883,0.9227610711406281,35.407015221707475,60.589013898080744,0.011795862350000002,0.07542035201964674,0.05429659074382613,0.021123761275820607
FB_forecaster,FutureSearch,102.0,0.0,0.9209483803459737,10.784313725490197,41.17647058823529,0.028784419049999996,0.10844019607843136,0.11128928732605199,-0.0028490912476206304
fb_early_closer,FutureSearch,102.0,0.0,0.9203289719432162,10.784313725490197,41.17647058823529,0.028784419049999996,0.1082205882352941,0.11128928732605199,-0.0030686990907578954
Public median forecast,ForecastBench,57.0,0.0,0.9199432904317464,8.771929824561402,29.82456140350877,0.04039303520000004,0.12027763157894737,0.10029750642638813,0.019980125152559244
vati-2.0,Vaticinus,189.0,0.0,0.9195389309990748,4.761904761904762,26.984126984126984,0.050963538,0.09613549863327514,0.07313293797796132,0.023002560655313822
yellow mouse,Google DeepMind,147.0,0.0,0.9186866365496722,14.965986394557824,37.41496598639456,0.04170000000000007,0.10886034421768709,0.1030854090412023,0.005774935176484794
brass-apple,Google DeepMind,102.0,0.0,0.9184314628881091,12.745098039215685,41.17647058823529,0.03500000000000002,0.11329245098039216,0.11128928732605199,0.0020031636543401676
limeforecast ensemble_crowdadj,limeforecast,147.0,0.0,0.9180740223168942,14.965986394557824,41.49659863945578,0.03,0.10665102040816327,0.1030854090412023,0.003565611366960972
