model,n,mean_adj,lo,hi,verdict
Claude-3-5-Sonnet-20241022 (scratchpad),3026,0.04328780959288931,0.03833221590656966,0.047920834198344434,below market
Claude-3-5-Sonnet-20241022 (zero shot with freeze values),3074,0.017434090936511618,0.014100907555774297,0.02086916462414669,below market
Claude-3-5-Sonnet-20241022 (zero shot),3055,0.052972184014211096,0.04713598202766501,0.058922693347881014,below market
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),3031,0.003926042700876843,0.002296274549917723,0.005595351793588035,below market
Claude-3-7-Sonnet-20250219 (scratchpad),3029,0.032490288983061354,0.028514158041277157,0.03662357256963866,below market
Claude-3-7-Sonnet-20250219 (zero shot with freeze values),3736,0.0162088527949608,0.013550636718416728,0.01912127212355073,below market
Claude-3-7-Sonnet-20250219 (zero shot),3727,0.06620407701831393,0.06104358537195396,0.07151982869710234,below market
Claude-3-Haiku-20240307 (scratchpad with freeze values),2392,0.15983194239408685,0.15187308850169876,0.16788170572934047,below market
Claude-3-Haiku-20240307 (scratchpad with news with freeze values),556,0.18183244979222463,0.1652777059872116,0.19809898691323097,below market
Claude-3-Haiku-20240307 (scratchpad with news),547,0.20421079826771288,0.1884852102804579,0.22033298841831883,below market
Claude-3-Haiku-20240307 (scratchpad),2390,0.20166696604166462,0.1939209649973675,0.20956173610156956,below market
Claude-3-Haiku-20240307 (superforecaster with news 1),560,0.25618117978896565,0.2351295713257959,0.2780063127191962,below market
Claude-3-Haiku-20240307 (superforecaster with news 2),563,0.1981377053677668,0.17976892493611912,0.21598676930182548,below market
Claude-3-Haiku-20240307 (superforecaster with news 3),538,0.2212962243032604,0.20347147104696814,0.23990335390390194,below market
Claude-3-Haiku-20240307 (zero shot with freeze values),2401,0.1201926326226505,0.11251199151021124,0.12776825399148692,below market
Claude-3-Haiku-20240307 (zero shot),2397,0.1693470005383316,0.1616642470785059,0.1770950416491782,below market
Claude-3-Opus-20240229 (scratchpad with freeze values),2391,0.05336959787276555,0.04795546349559807,0.05911150249488947,below market
Claude-3-Opus-20240229 (scratchpad with news with freeze values),564,0.11820417626531096,0.10313448546341719,0.13369066525755122,below market
Claude-3-Opus-20240229 (scratchpad with news),564,0.1358330306676257,0.11933452275570358,0.15213606054843395,below market
Claude-3-Opus-20240229 (scratchpad),2365,0.10032490348497781,0.09387477856318924,0.10681773744715067,below market
Claude-3-Opus-20240229 (superforecaster with news 1),561,0.11720385083059127,0.09775803266844367,0.13668743977054032,below market
Claude-3-Opus-20240229 (superforecaster with news 2),566,0.12902602089794105,0.11006241074712506,0.1480493379912262,below market
Claude-3-Opus-20240229 (superforecaster with news 3),565,0.13699164127528254,0.11909428522948204,0.15560021674338254,below market
Claude-3-Opus-20240229 (zero shot with freeze values),2399,0.027676558198027446,0.02330341465880675,0.032327810135676316,below market
Claude-3-Opus-20240229 (zero shot),2394,0.08259580903961701,0.07526238703398826,0.09003781401286585,below market
Claude-Haiku-4-5-20251001 (zero shot with freeze values),1811,0.013283149948951488,0.00855685778613833,0.018144309108454344,below market
Claude-Haiku-4-5-20251001 (zero shot),1811,0.08654123446579302,0.07553083570642702,0.0970994666967767,below market
Claude-Opus-4-1-20250805 (scratchpad with freeze values),415,0.014837244845497224,0.007196746681118575,0.023859594491906694,below market
Claude-Opus-4-1-20250805 (scratchpad),411,0.03902451047447451,0.023206628911788853,0.05538577410613025,below market
Claude-Opus-4-1-20250805 (zero shot with freeze values),2051,0.0361902532073191,0.028717132324631946,0.043497238223978454,below market
Claude-Opus-4-1-20250805 (zero shot),1745,0.0707334633083687,0.05999543600650052,0.08065462577398391,below market
Claude-Opus-4-20250514 (scratchpad with freeze values),433,0.016745537138499595,0.009702333854657205,0.024459461298338068,below market
Claude-Opus-4-20250514 (scratchpad),432,0.05469989556371574,0.0416637882412169,0.06836327689421824,below market
Claude-Opus-4-20250514 (zero shot with freeze values),369,0.1624284996614247,0.13024757476084814,0.19601517221141487,below market
Claude-Opus-4-20250514 (zero shot),113,0.2507223798381978,0.19529298511676024,0.3119677683994236,below market
Claude-Opus-4-5-20251101 (zero shot with freeze values),336,0.007110756224090868,0.002136133478449771,0.012709382431064366,below market
Claude-Opus-4-5-20251101 (zero shot),335,0.0633870465411777,0.04206136741023407,0.08530771077468498,below market
Claude-Opus-4-6 (zero shot with freeze values),688,0.026165943658757934,0.0160712984454809,0.036165026709732734,below market
Claude-Opus-4-6 (zero shot),688,0.11254686412387421,0.09211503753198853,0.13451507873804025,below market
Claude-Opus-4-7 (zero shot with freeze values),295,0.025800714114082586,0.00943984999335859,0.04406243710906111,below market
Claude-Opus-4-7 (zero shot),295,0.13990257852086224,0.10406411612384639,0.17708792669953707,below market
Claude-Opus-4-8 (zero shot with freeze values),193,0.03700198171456821,0.009617155505235415,0.06589146188765173,below market
Claude-Opus-4-8 (zero shot),193,0.15161330554876512,0.10380045714100551,0.2020208265529331,below market
Claude-Sonnet-4-20250514 (scratchpad with freeze values),848,0.011204543237535211,0.005794013280341986,0.01655070847822045,below market
Claude-Sonnet-4-20250514 (scratchpad),847,0.05266508201606329,0.041962814645032175,0.06347499197439933,below market
Claude-Sonnet-4-20250514 (zero shot with freeze values),1678,0.08452052038446341,0.07241814929797204,0.0963210873376868,below market
Claude-Sonnet-4-20250514 (zero shot),1004,0.06661895826738684,0.054741760486157504,0.07871255373682232,below market
Claude-Sonnet-4-5-20250929 (zero shot with freeze values),1754,0.01410724782986656,0.009276018101099619,0.018865573648430247,below market
Claude-Sonnet-4-5-20250929 (zero shot),1754,0.08121784684360601,0.06947121669523462,0.09271208103073952,below market
Claude-Sonnet-4-6 (zero shot with freeze values),1025,0.013596223327668012,0.007067663572303801,0.019833277061533153,below market
Claude-Sonnet-4-6 (zero shot),1025,0.12237008005515745,0.10411304756021639,0.14086872316627433,below market
DeepSeek-R1 (scratchpad with freeze values),2127,0.0071982719393837895,0.00499217708099265,0.009688506881108139,below market
DeepSeek-R1 (scratchpad),1953,0.04049242643818096,0.03512267783152438,0.0459099728783459,below market
DeepSeek-R1 (zero shot with freeze values),1458,0.17190842566085276,0.15466099312655818,0.1887336103726769,below market
DeepSeek-R1 (zero shot),217,0.20789646698024403,0.1618525762623303,0.2567007826640879,below market
DeepSeek-V3 (scratchpad with freeze values),2176,0.017272567667879657,0.01419487771129147,0.02071552715597003,below market
DeepSeek-V3 (scratchpad),2175,0.06042986632986845,0.0548112362583789,0.06624605252020432,below market
DeepSeek-V3 (zero shot with freeze values),2190,0.021228227915451016,0.017347264355633656,0.02547794344228225,below market
DeepSeek-V3 (zero shot),2190,0.0717204586947442,0.06529331624714076,0.0779243945430785,below market
DeepSeek-V3.1 (zero shot with freeze values),1514,0.04519349855268007,0.03702732622892078,0.05400437679425354,below market
DeepSeek-V3.1 (zero shot),1514,0.11264124292121003,0.1002973192655272,0.12386067847501743,below market
DeepSeek-V4-Pro (zero shot with freeze values),209,0.04777111657030367,0.021409301356902825,0.07697321217338635,below market
DeepSeek-V4-Pro (zero shot),198,0.18889215325010086,0.1417272065331689,0.24356862279680286,below market
Ensemble,382,0.047383717764038435,0.032945477688733064,0.06214655214391055,below market
FB_forecaster,102,-0.002849091247620629,-0.02406415137008768,0.020715227548333402,indistinguishable
Fathom-Search-4B (prompt 1),112,0.07897852713930739,0.04452562578560131,0.11827236063591673,below market
Fathom-Search-4B (prompt 2),112,0.07447578606787883,0.04101487911055202,0.11295106835067821,below market
Foresight-32B,108,0.005676780597985441,-0.016082506621876786,0.02919562627729304,indistinguishable
GLM-4.5-Air-FP8 (scratchpad with freeze values),371,0.014005399126498593,0.008884136146930888,0.020144846613097313,below market
GLM-4.5-Air-FP8 (scratchpad),328,0.049026889654631506,0.031692952723228154,0.06620661003878212,below market
GLM-4.5-Air-FP8 (zero shot with freeze values),637,0.05269502778620132,0.036126257951219556,0.06794915677960832,below market
GLM-4.5-Air-FP8 (zero shot),615,0.10300443466919756,0.08526892422107067,0.1222094280083884,below market
GLM-4.6 (zero shot with freeze values),124,0.006572527188848021,0.0005819682166423973,0.012967859756330694,below market
GLM-4.6 (zero shot),72,0.06090626019378457,0.017566451779140076,0.10806088368911607,below market
GLM-4.7 (zero shot with freeze values),57,0.01551977738418594,0.0019586517210917714,0.03121872407486578,below market
GLM-5 (zero shot with freeze values),441,0.02171495385304576,0.012263812652134285,0.0317713283857066,below market
GLM-5 (zero shot),404,0.11213148765403479,0.08329088980121453,0.14071373463725712,below market
GLM-5.1 (zero shot with freeze values),573,0.020826312137937567,0.009301847656889437,0.03264319329078236,below market
GLM-5.1 (zero shot),518,0.12838890693938193,0.09816195881429134,0.15972785453598126,below market
GPT-3.5-Turbo-0125 (scratchpad with freeze values),566,0.20777806314140396,0.19054643106495098,0.22597603345829378,below market
GPT-3.5-Turbo-0125 (scratchpad),566,0.2122824801025347,0.19374048248355333,0.22980724568261016,below market
GPT-3.5-Turbo-0125 (zero shot with freeze values),566,0.1811514298923548,0.15463576229984696,0.20690166637922727,below market
GPT-3.5-Turbo-0125 (zero shot),566,0.26752135112726966,0.2426851064947083,0.2917243219904476,below market
GPT-4-0613 (scratchpad with freeze values),557,0.06762573736854097,0.05265120092740263,0.08386459981676155,below market
GPT-4-0613 (scratchpad),559,0.09205295200618707,0.07835454069567449,0.10512545973776131,below market
GPT-4-0613 (zero shot with freeze values),566,0.0518480145009956,0.038635732479531434,0.06519537395434255,below market
GPT-4-0613 (zero shot),561,0.12446712017092015,0.10977954795614059,0.1396969279645196,below market
GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),2392,0.02581981243782335,0.02128811644987744,0.03093757793190969,below market
GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),561,0.05238812646773786,0.03894628869962114,0.06518554589984718,below market
GPT-4-Turbo-2024-04-09 (scratchpad with news),561,0.07364673480428222,0.06005201469626524,0.08799394972261067,below market
GPT-4-Turbo-2024-04-09 (scratchpad),2389,0.08416626041307884,0.07757468904175994,0.0908250559663618,below market
GPT-4-Turbo-2024-04-09 (superforecaster with news 1),561,0.09590573970184059,0.08043367030173369,0.11243018378402875,below market
GPT-4-Turbo-2024-04-09 (superforecaster with news 2),564,0.13227090774935318,0.1135272277006687,0.1514412868672423,below market
GPT-4-Turbo-2024-04-09 (superforecaster with news 3),563,0.08307087705023915,0.0698790995440022,0.09717780764898416,below market
GPT-4-Turbo-2024-04-09 (zero shot with freeze values),2402,0.021054084549455256,0.016438959764768928,0.026033194130899173,below market
GPT-4-Turbo-2024-04-09 (zero shot),2388,0.07328606884709045,0.0664045492065943,0.08007968829746698,below market
GPT-4.1-2025-04-14 (scratchpad with freeze values),2232,0.013233648876162084,0.010051621616758771,0.01645190090421778,below market
GPT-4.1-2025-04-14 (scratchpad),2231,0.04832283326117706,0.04108521531779139,0.055499620586545895,below market
GPT-4.1-2025-04-14 (zero shot with freeze values),4057,0.022706563265006804,0.01905305542958172,0.02647490286054755,below market
GPT-4.1-2025-04-14 (zero shot),4047,0.0692346624359152,0.06257559754730042,0.07597301675973701,below market
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),917,0.007408286595411719,0.003599362516777563,0.011444623381738656,below market
GPT-4.5-Preview-2025-02-27 (scratchpad),913,0.040455228729957195,0.03194653171321366,0.04839658198856446,below market
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),925,0.011576641470463053,0.006482608664142293,0.01700028557657501,below market
GPT-4.5-Preview-2025-02-27 (zero shot),924,0.05451947621230552,0.04351458048747083,0.06518536156265871,below market
GPT-4o (scratchpad with SECOND news),563,0.08007965118878267,0.06476784733082996,0.09536613300158935,below market
GPT-4o (scratchpad with freeze values),563,0.029411471537647112,0.01948071298502742,0.039808896134722625,below market
GPT-4o (scratchpad with news with freeze values),565,0.048393360735643834,0.036524450064458064,0.060754739811311784,below market
GPT-4o (scratchpad with news),564,0.07889568005320957,0.06438807111224876,0.09378389274749227,below market
GPT-4o (scratchpad),560,0.08162813127011866,0.06678715836497018,0.09686527912394434,below market
GPT-4o (superforecaster with news 1),564,0.08514703501581497,0.06733242617404127,0.10178048458497095,below market
GPT-4o (superforecaster with news 2),565,0.12459649556795335,0.10729019641834221,0.1427512532665107,below market
GPT-4o (superforecaster with news 3),565,0.09666880619231795,0.08267984834536479,0.11089935902769943,below market
GPT-4o (zero shot with freeze values),561,0.08416967507398901,0.06480008457738691,0.10345520504818141,below market
GPT-4o (zero shot),538,0.10393269416294716,0.08536234559447196,0.12238423834650515,below market
GPT-4o-2024-05-13 (scratchpad with freeze values),3085,0.01262965937916933,0.00989949581626577,0.015451581060294562,below market
GPT-4o-2024-05-13 (scratchpad),3090,0.0702955660564744,0.06522343844898279,0.07576733394625766,below market
GPT-4o-2024-05-13 (zero shot with freeze values),3087,0.07439678541683656,0.06601404606549417,0.0829720844393371,below market
GPT-4o-2024-05-13 (zero shot),2839,0.07746447232986191,0.07067963020176525,0.08375851194413209,below market
GPT-4o-2024-11-20 (scratchpad with freeze values with web search),454,0.04817445554970428,0.03551565577153935,0.06251495313882771,below market
GPT-4o-2024-11-20 (scratchpad with web search),456,0.06603775218837052,0.05365739971724362,0.07911490644088323,below market
GPT-4o-2024-11-20 (zero shot with freeze values with web search),458,0.04159506065138784,0.027593488356833253,0.056357882919962375,below market
GPT-4o-2024-11-20 (zero shot with web search),448,0.10488454523374717,0.0825018053570134,0.12694770697826754,below market
GPT-5-2025-08-07 (zero shot with freeze values),636,0.012665239559748763,0.006436460423872463,0.019643545627473655,below market
GPT-5-2025-08-07 (zero shot),635,0.06531323370414324,0.049226041772171866,0.08199914585279171,below market
GPT-5-Mini-2025-08-07 (zero shot with freeze values),2223,0.02424863321007289,0.018541115548311775,0.02979868221673402,below market
GPT-5-Mini-2025-08-07 (zero shot),2223,0.09012102295602963,0.07971311912037701,0.10040067891990383,below market
GPT-5-Nano-2025-08-07 (zero shot with freeze values),2226,0.05940982695290519,0.05098760227595125,0.06767919972793983,below market
GPT-5-Nano-2025-08-07 (zero shot),2221,0.09074582510093802,0.08091383185601426,0.10156826312369344,below market
GPT-5.1-2025-11-13 (zero shot with freeze values),1158,0.02558037410784583,0.018508163527549793,0.03307575246461393,below market
GPT-5.1-2025-11-13 (zero shot),1164,0.11263760763135544,0.09828263664729338,0.12803952899768975,below market
GPT-5.2-2025-12-11 (zero shot with freeze values),909,0.01391113699078684,0.005857765517724079,0.02169756075705945,below market
GPT-5.2-2025-12-11 (zero shot),906,0.10752392561640152,0.09032368272725655,0.12582202261058292,below market
GPT-5.4-2026-03-05 (zero shot with freeze values),750,0.025611795444258047,0.014686768694995725,0.03655889250189309,below market
GPT-5.4-2026-03-05 (zero shot),750,0.1445788483109247,0.12283801484785888,0.16790232290851012,below market
GPT-5.4-Mini-2026-03-17 (zero shot with freeze values),750,0.03624662467092471,0.02418678907437548,0.049131750549518856,below market
GPT-5.4-Mini-2026-03-17 (zero shot),749,0.16114662403630645,0.14072188255469645,0.1832615229907431,below market
GPT-5.4-Nano-2026-03-17 (zero shot with freeze values),750,0.06830120132425804,0.053611681927339117,0.08327243205799716,below market
GPT-5.4-Nano-2026-03-17 (zero shot),750,0.16140820199092473,0.14064964542168548,0.18432274241110755,below market
GPT-5.5-2026-04-23 (zero shot with freeze values),295,0.017129099707302923,0.0044992810453142445,0.02997790279110503,below market
GPT-5.5-2026-04-23 (zero shot),295,0.12013868797848937,0.08842916121527776,0.15410286308111676,below market
Gemini,398,0.001248303072973958,-0.008222749884282217,0.010516945310814171,indistinguishable
Gemini-1.5-Flash (scratchpad with freeze values),562,0.09668949613809745,0.07968954724195308,0.11373892080136852,below market
Gemini-1.5-Flash (scratchpad with news with freeze values),560,0.1049141694090546,0.08856512952134223,0.12218998953997988,below market
Gemini-1.5-Flash (scratchpad with news),562,0.12347134744496546,0.10675998830915312,0.14009375619077954,below market
Gemini-1.5-Flash (scratchpad),559,0.11899699006862839,0.1037886008957323,0.13524478783655183,below market
Gemini-1.5-Flash (superforecaster with news 1),562,0.17519502017404284,0.15358625434334253,0.19681676827886127,below market
Gemini-1.5-Flash (superforecaster with news 2),340,0.14836024353070026,0.12488970601354424,0.17270508299822734,below market
Gemini-1.5-Flash (superforecaster with news 3),565,0.1432638169609172,0.12711596081678467,0.16122100350457588,below market
Gemini-1.5-Flash (zero shot with freeze values),565,0.061902624331028215,0.04647928885988123,0.07790108467130205,below market
Gemini-1.5-Flash (zero shot),558,0.1378551476052171,0.11771479615056371,0.1585290947442299,below market
Gemini-1.5-Pro (scratchpad with freeze values),557,0.07049614623354501,0.05753244102922655,0.08353353919238023,below market
Gemini-1.5-Pro (scratchpad with news with freeze values),553,0.07359302776216303,0.06033756194675935,0.08744023823542375,below market
Gemini-1.5-Pro (scratchpad with news),556,0.09423207897455511,0.07817238248601387,0.110655813777275,below market
Gemini-1.5-Pro (scratchpad),558,0.09848352926078395,0.08295153441651694,0.11351133309132558,below market
Gemini-1.5-Pro (superforecaster with news 1),563,0.12017901424795496,0.10153162140849023,0.1385224126240592,below market
Gemini-1.5-Pro (superforecaster with news 2),562,0.13124650442182723,0.11073259554005148,0.1515569096590327,below market
Gemini-1.5-Pro (superforecaster with news 3),559,0.10270847619898663,0.08620277084599895,0.1182332155814066,below market
Gemini-1.5-Pro (zero shot with freeze values),275,0.08746879321398553,0.06523868649532559,0.11058080674556112,below market
Gemini-1.5-Pro (zero shot),271,0.10556861840636107,0.07754833637627918,0.13429855322070056,below market
Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),822,0.017775950554446293,0.010482023940454391,0.026044951578813254,below market
Gemini-2.0-Flash-Lite-001 (scratchpad),825,0.0580167604850927,0.04861809565041707,0.06788549600728755,below market
Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),827,0.04065891226397447,0.029282837855165417,0.05175757825547839,below market
Gemini-2.0-Flash-Lite-001 (zero shot),827,0.08302168152651442,0.06976167931620625,0.0961718917962871,below market
Gemini-2.5-Flash (zero shot with freeze values),1003,0.019394842213082727,0.012955945176279652,0.026411909328506965,below market
Gemini-2.5-Flash (zero shot),1004,0.08053142293337467,0.06657794710572372,0.09466197282766647,below market
Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),423,0.01087361158477457,0.006128508121678513,0.01619381911119354,below market
Gemini-2.5-Flash-Preview-04-17 (scratchpad),422,0.047472866423017956,0.03405473612818066,0.06180928905877259,below market
Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),421,0.022888358372529952,0.01426969560154113,0.03254656441387823,below market
Gemini-2.5-Flash-Preview-04-17 (zero shot),422,0.060612872158489414,0.0441586651878843,0.07775545919887866,below market
Gemini-2.5-Pro (zero shot with freeze values),1818,0.013045605397308592,0.008392634056833468,0.017700365768205974,below market
Gemini-2.5-Pro (zero shot),1809,0.08078860985011106,0.0690734021052039,0.092445772716755,below market
Gemini-2.5-Pro-Preview-03-25 (zero shot with freeze values),91,0.015336205594780305,0.0024136558217380303,0.029814304794788977,below market
Gemini-2.5-Pro-Preview-03-25 (zero shot),154,0.06324469906421976,0.03605155547186246,0.09473261577149153,below market
Gemini-3-Flash-Preview (zero shot with freeze values),908,0.010219620289385884,0.004045413032222533,0.016526773478898263,below market
Gemini-3-Flash-Preview (zero shot),904,0.1136460239009754,0.09308359807320557,0.1343243525663453,below market
Gemini-3-Pro-Preview (zero shot with freeze values),692,0.004437796689637996,-0.0004491935912648051,0.009298149723446902,indistinguishable
Gemini-3-Pro-Preview (zero shot),689,0.06598866445390542,0.047587710336414756,0.08431270995355553,below market
Gemini-3.1-Flash-Lite (zero shot with freeze values),288,0.033803700270878104,0.015975660924511532,0.05566686294213741,below market
Gemini-3.1-Flash-Lite (zero shot),286,0.21177106115676336,0.16446825879944774,0.25893770948514394,below market
Gemini-3.1-Flash-Lite-Preview (zero shot with freeze values),449,0.0395583793816347,0.02297163672827247,0.05720761683366429,below market
Gemini-3.1-Flash-Lite-Preview (zero shot),439,0.2156655907506587,0.17783498672089634,0.2519689966717697,below market
Gemini-3.1-Pro-Preview (zero shot with freeze values),1024,0.012946275895055086,0.005847754802731802,0.01980369861551286,below market
Gemini-3.1-Pro-Preview (zero shot),1024,0.13262103912747694,0.11248484258498308,0.15508471102492552,below market
Gemini-3.5-Flash (zero shot with freeze values),295,0.0194258115717097,0.004836790389557157,0.034764803554559624,below market
Gemini-3.5-Flash (zero shot),294,0.14158753300562707,0.10360839002604626,0.18000391964263537,below market
Gemma-4-31B-It (zero shot with freeze values),584,0.01712294212681937,0.005728585909951895,0.02864150875785815,below market
Gemma-4-31B-It (zero shot),532,0.13057296799540877,0.1035182673476312,0.1569952866199677,below market
"Grok 4.20 (Beta, A)",127,0.0037445888451015843,-0.014528256037679892,0.01878142999059087,indistinguishable
"Grok 4.20 (Beta, B)",127,0.0006445750655740257,-0.016438453617921598,0.014700790396090832,indistinguishable
"Grok 4.20 (Beta, C)",119,-0.0072305938106610596,-0.02225934815126474,0.00660475732750128,indistinguishable
"Grok 4.20 (Beta, D)",119,-0.0072305938106610596,-0.02188758287682955,0.005777321166834501,indistinguishable
Grok 4.20 (Preview),112,0.009720410442878807,-0.01629099595761635,0.035960185276963624,indistinguishable
Grok-4-0709 (zero shot with freeze values),669,0.003060209369417742,0.00014844626528415483,0.006235814531557017,below market
Grok-4-0709 (zero shot),662,0.06445873816074142,0.05082877248573657,0.07889771076043554,below market
Grok-4-1-Fast-Non-Reasoning (zero shot with freeze values),1191,0.0359551406350064,0.027575829392501992,0.04476997569233103,below market
Grok-4-1-Fast-Non-Reasoning (zero shot),1158,0.1426497288412902,0.12622466485546616,0.16035185752739012,below market
Grok-4-1-Fast-Reasoning (zero shot with freeze values),1193,0.008273971195551231,0.0036942733237687623,0.012781606302190595,below market
Grok-4-1-Fast-Reasoning (zero shot),1171,0.08419365636110726,0.06935667238974286,0.09848785580757233,below market
Grok-4-Fast-Non-Reasoning (zero shot with freeze values),1059,0.03586454177937452,0.0276786599054163,0.045067028473380906,below market
Grok-4-Fast-Non-Reasoning (zero shot),1043,0.12148511756746355,0.10601744741004593,0.13644085042356174,below market
Grok-4-Fast-Reasoning (zero shot with freeze values),1057,0.00504771611575933,0.0012114055629680882,0.008910743191446364,below market
Grok-4-Fast-Reasoning (zero shot),1051,0.07747437869111094,0.06424075474827919,0.09090689255016321,below market
Grok-4.20-0309-Non-Reasoning (zero shot with freeze values),504,0.11460500753017719,0.09046601406964912,0.13950763245878575,below market
Grok-4.20-0309-Non-Reasoning (zero shot),504,0.19959389840319305,0.16997975537171459,0.22903402095431483,below market
Grok-4.20-0309-Reasoning (zero shot with freeze values),501,0.027794456217982627,0.014791600868718243,0.0410800685079806,below market
Grok-4.20-0309-Reasoning (zero shot),504,0.12370511864128829,0.09978556359168013,0.1477888483676367,below market
Grok-4.20-Beta-0309-Non-Reasoning (zero shot with freeze values),246,0.12275227860969203,0.09061232268357043,0.1556998363028979,below market
Grok-4.20-Beta-0309-Non-Reasoning (zero shot),246,0.206128669504001,0.16937778844387724,0.24509935505885835,below market
Grok-4.20-Beta-0309-Reasoning (zero shot with freeze values),246,0.03269157556091152,0.015500286728708559,0.050264964765811514,below market
Grok-4.20-Beta-0309-Reasoning (zero shot),245,0.13355749672646627,0.10100618782346447,0.16792831724067486,below market
Grok-4.3 (zero shot with freeze values),397,0.026501096289858115,0.011948169990513976,0.04132509215870118,below market
Grok-4.3 (zero shot),396,0.12684328128048908,0.09802370121296394,0.15653754970823683,below market
Grok-beta (scratchpad with freeze values),828,0.01864214353628954,0.012381777549529956,0.02497635443626994,below market
Grok-beta (scratchpad),827,0.05583216620463685,0.047942690847554245,0.06380427805227654,below market
Grok-beta (zero shot with freeze values),828,0.011621721616312598,0.005711624791874449,0.017465067379623708,below market
Grok-beta (zero shot),825,0.030834264337891718,0.021180779120342868,0.04063113364820549,below market
Kimi-K2-Instruct (scratchpad with freeze values),903,0.019029550337085196,0.01263639764197731,0.025713035426805884,below market
Kimi-K2-Instruct (scratchpad),901,0.061323662183314157,0.04949516287674371,0.07346655315345467,below market
Kimi-K2-Instruct (zero shot with freeze values),1557,0.02022739280977412,0.0151369047117858,0.02558800150835733,below market
Kimi-K2-Instruct (zero shot),1538,0.0752956384763645,0.06586163315236529,0.08495423560242996,below market
Kimi-K2-Instruct-0905 (zero shot with freeze values),782,0.02478214396549199,0.015563943037556703,0.03498189877469941,below market
